reviewid,reviewtext,sentiment
4281,去圆明园更适合秋冬季去，因为秋冬时节落叶凋零寒风彻骨更应景，衰草枯杨曾为世界园林典范，如今满目疮痍，勿忘国耻，北京冬季雾霾较多，这里就是天然氧吧！！！,2
4282,夏天赏荷花的时候特别好，荷花品种多面积大，真的是接天莲叶无穷碧，映日荷花别样红的感觉，凉风习习，比外面温度低，可舒服了，秋天的时候有一条银杏大道也很漂亮，特别值得去,2
4283,圆明园赏秋（四）圆明园从春的荷花盛开到秋季的荷花败落，前来拍两季的人不断，但还有更多的人是悠闲自在的闲逛圆明园，谈情的说爱的闲聊的，还有一人发呆的，更有大显身手的。,2
4284,一个历史有而看不出所以然的地方，休闲可以,1
4285,不愧是万园之园，真的好大，摇橹船荷塘还有遗址，可看的地方很多，一天都逛不完，园内有很多奇花异草，假山等，是当年皇上的第二行宫避暑胜地，很棒！,2
4286,圆明园赏秋（三）圆明园内赏秋菊，秋天到来之季，北京各大公园都会举办菊花展，主题各不相同但菊花确是千姿百态，美的让你转了一圈又一圈，看了一遍又遍，品种越来越多，姿色越来越美。,2
4287,圆明园赏秋（三）圆明园的荷，圆明园的荷花有名气，每年荷花盛开的季节，众多摄影爱好者，长枪短炮的纷纷来拍出污泥而不染的荷。而今年第一次拍了残荷，夕阳下残荷的美，你认可吗7？,2
4288,圆明园内赏秋色（一）园内走走看看，非常干净，周末游客不是特别多，也许是十九大开会期间吧，公交车也很通畅，只是稍微早了几天，再过几天景色会更美。,2
4289,去年到北京旅游，特意去了圆明园，曾经的“万园之园”，如今改为遗址公园，圆明园的面积很大，游览了近两个小时，我们游完了颐和园就坐公交来到了圆明园南门，圆明园的精华部分大部分集中在北门那边，西洋楼景观，大水法等等，很多的游客都在看，环境不错，想把整个圆明园逛完一天时间可能也不够，只能选精华部分参观游览一下,1
4290,圆明园适合喜欢历史而不是风景的人去，现在这里变成一个巨大的废墟，基本上除了大水法变没有什么原来的建筑了，但大水法也只是断壁残垣。,0
4291,很大啊，遗址公园,1
4292,很大啊，遗址公园 满目疮痍，触景伤怀,0
4293,好好的园子被糟蹋成这样，真的很可惜,0
4294,慕名而来，请讲解更能学习历史的意义。,2
4295,圆明园遗址公园位于颐和园附近，地铁可直达，园内面积很大，原有建筑除西洋楼尚存残石，其他砖木建筑全毁，目前只能看到当时的基台。,1
4296,非常有教育意义的游园，看着一个个遗址，勿忘国耻，振兴中华，油然而生。单就风景讲，这里非常美，闲庭信步，泛舟福海，很是惬意。,2
4297,圆明园也很大，我们一直想去看西洋楼遗址，走啊走啊，沿路一直走，里面风景也不错，听说里面有一百多个风景建筑群，这就有些遗憾了，一路人群较多，也没有细细去观赏，从前大门走到最后迷宫，看了一些被破坏的遗址群，我脑海里一直闪现的是历史书里面圆明园被烧毁的遗址，但是总是没找到一样的！出来也是原路返回，一直走啊走啊！这些公园应该要花很多时间去观赏去了解他们背后的历史，而我们此次也只是走马观花的欣赏着！,2
4298,非常大非常漂亮的皇家园林，水路四通八达，小桥流水妙哉妙哉！西洋楼风貌区看被毁坏的历史建筑令人心痛不已心情沉重。总的来说，值得推荐5星好评！,2
4299,本来一路走过都没什么感觉，无非就是有水有树，但是一走进遗址便换了心情，开始脑补各种历史，想象当年的盛世与繁荣，,2
4300,好！很好的环境，比较舒服de,2
4301,5号带女儿此地一游．正好这学期学习这篇文章，让孩子看看，感触良多、真想回到那个时候看看圆明园圆明园中金碧辉煌的殿堂，也有玲珑剔透的亭台楼阁；有象征着热闹街市的“买卖街”，也有象征着田园风光的山乡村野。,2
4302,圆明园是清代著名的皇家园林，由圆明园、长春园和绮春园三块区域组成。历史上无比富丽优美，有“万园之园”的美誉。1860年英法联军将主要建筑烧为灰烬。圆明园的园林造景多以水为主题，以水景取胜，圆明园主要由两大区域组成，福海景区，后湖景区。在圆明园游玩的时候会有无限感慨和遗憾，如果和刚建成时一样多美啊！,0
4303,景区很大，性佳比很好，很值。全园游玩需要一天时间，但需要有导览图，百度现在有，方便很多，规划线路就好多了，否则很盲目。圆明园区人太少，有共享车会增加游客，不然时间是不够的，所以这个区域其实就很浪费,2
4304,用驴妈妈买票可以打折，才花了22，这可比部分景区没啥东西却要100多的好多了，至少花20几块钱玩了整整一个下午，看了看历史古迹，听听讲解，讲解费20还可以吧,2
4305,"一直都想去圆明园，只是没有时间，这次赶上放暑假了，才有机会去，先是用手机买的门票，骑着共享单车。圆明园是太大了真,逛了一上午只逛了一半",2
4306,特地过去看看的，圆明园旧址十二生肖可惜有点晚了，四点半过去的只能看旧址了六点没有票卖了只能爬墙啦！进去门票不贵，看旧址还要买票的！圆明园里面太大了，时间充足的话可以玩半天的！旁边靠近清华北大，时间过得去还能去看看！有地铁过去的！,2
4307,曾经的辉煌，现在真的就是些残海而已！很遗憾，很心痛，现在作为游览的公园来说不如去边上的颐和园更好玩。,0
4308,记住历史，看一看世界的繁华。。,1
4309,门票便宜，进去之后可以看到很多荷花池，走一两公里到达西洋楼遗址，就是历史课本上的那里。那边还有一个迷宫可以体验一下。里面没有曾经被抢的兽首,2
4310,残垣断壁之中感受那一段屈辱的历史回忆，值得。,1
4311,景色很不错。以前一直以为圆明园不大，最著名的那个大水法感觉就是圆明园的全部。这次去了才知道原来园子非常大，一天应该是逛不完。爱国教育为主，趣味性一般，有一个迷宫还挺好玩的,2
4312,公园很大，景色很好，尤其是那么大的荷塘。,2
4313,圆明园真的是非常优秀并且很宝贵的景点，在听到对那些建筑的谅讲解后，不仅让我们惊叹古人们对建筑的鬼斧神工，更让我们领悟到了落后就要挨打！勿忘国耻！这是一次很有意义的旅行！,2
4314,很不错！取票方便，偶尔的时候还蹭导游的讲解，非常有意思；在里面花了差不多一天的时间，还是很值得去逛逛的；主要是我家老头子很有兴趣研究石头的年龄😄不嫌热不嫌路多；估计徒步了二十几公里；主要是绕了很多路,2
4315,圆明园是第一次去，里面分了三个园，地铁出来入口就是绮春园，从门口到西洋楼遗址有2公里路，可以选择步行游览，也可以坐游览车，当然还可以坐观光船，方式可以任意选择。园里最大的自然景是荷花，每个湖里都有荷花。圆明园的主题景是西洋楼遗址，一处是大水法遗址、另一处是水力钟，出现都已经被隔开，不能进入了，看看遗址可以想象当年是多么宏伟壮观的。圆明园公园里也是周末休闲的好地方！,2
4316,圆明园，到北京去玩，必须要去的一个景点，虽然只是一堆废墟，但是依然可以感受到它曾经的辉煌，而且也能够让你更加的铭记历史。,2
4317,这里很美，世界那么美，我们应该出去走走，圆明园，景色优美，值得一观，到那里能让我们感受心旷神怡的感觉，让自己全身心的放松,2
4318,捉了只蚂蚱当宠物养，现在还活得挺好。又在小区捉只公的配对，但愿不会影响传宗接代。迷宫让人多走路，虽冤枉却不懊恼，锻炼身体。电瓶车价不贵，摩托艇不环保。,2
4319,环境优美闹中取静，世界遗产，值得一去，,2
4320,免费的电影是值得去看一看的，对整个圆明园原来的模样还原的比较真实，才让人更为叹惋。万园之园-圆明园后来剩下的只是一个占面百分一二的西洋楼遗址……,0
4321,挺好了啊，有厉使价值！风景如画！挺大了！,2
4322,很漂亮，非常非常值得一看哦哦。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,2
4323,下了香山打的去的颐和园，结果闭馆修整，不知道什么时候开，没办法又坐公交车去了圆明园。大水法圆明园修复模型发现圆明园的红叶比香山的还要好看......金灿灿的银杏树,1
4324,一直对景山的 印象都特别的好，在上面可以看到故宫的全景，而且下面的花园也很漂亮，门票2块，拿导游证可以直接进，和圆明园，颐和园比起来景山公园不算大，但是可看的东西却很多，刚开始进园子一心奔着故宫全景去的，直接爬上了一座山，拍完发现其实有好几个高峰处都可以俯拍紫禁城，去的同学注意了，共有5座，自东向西依次为观妙亭、周赏亭、万春亭、富览亭、辑芳亭，个人觉得万春亭位置不错，只不过那天去...,2
4325,景山公园，本人非常喜欢的北京的景点之一，因为这里价格实惠、风景优美、交通便利，综合考虑起来在北京很难找到各方面都比景山要好的景点。爬上景山最顶端，可以充分地享受北京十大美景之一---故宫全景，这里是摄影爱好者的聚集地，总能在这里看到不少扛着像火箭筒一样相机的他们驻足于此。,2
4326,北京下雪啦～景山角楼周边拍照指北,2
4327,登顶望京楼，尽揽故宫全景﹣﹣景山公园旅行指南！,2
4328,🏞️ 景山公园：北京的心脏跳动得更绿了！ 🌳,2
4329,景山公园，一个融合了历史与自然风光的绝佳之地，却常被游客忽视。今天，就让我带你一起探寻景山公园的五大隐藏宝藏，让你重新认识这个美丽的公园！,2
4330,🔥不可错过的紫禁城旁宝地：景山公园的魅力全解析！,2
4331,景山公园位于北京城南北中轴线的中心点上，南依故宫，西靠北海，北与鼓楼遥遥相望，曾是北京城中心的最高点，可俯瞰故宫全景，一览京城轴线，领略整齐对称的布局神韵，品读气势恢宏的宫廷建筑。景山公园内古树参天，山峰独秀，殿宇巍峨，牡丹品种繁多，文化活动丰富。门票只要2元。,2
4332,北京性价比最高、景观最棒的景点！很多人参观完故宫博物馆，从神武门出来后可能就会直接离开了，但如果你有时间，你可以走到神武门对面的景山公园看看，相信你会有意想不到的惊喜。如果本身就对景山公园有兴趣的游客，可以直接乘坐公交到58路; 101路; 103路; 109路; 124路等公交线路在故宫公交站下车，即刻看到景山公园的正门了。景山公园的门票真的便宜得几乎是送的，只需要2元人民币，你没听错噢，是2元噢，...,2
4333,故宫后山，性价比超高！,2
4334,首先，景山公园的门票超级便宜。门票2元，学生半价1元，还是4A景区，算是很便宜了吧。哈哈~~~景山公园西临北海，南与故宫神武门隔街相望，是明、清两代的御苑。在你去玩故宫之后，如果还有精力和体力，这个地方连着去，是个不错的选择。这里很安静，不会有特别的多人。是个适合小憩的地方。景山公园是一座环境优美的皇家园林，绿化什么的很不错。冬天时候，景山顶端看故宫，白雪皑皑，威严尽显。对了，站在景山山顶，远观故宫，别...,2
4335,离故宫近，爬到最顶上可以看故宫及附近的全貌，景色非常不错。,2
4336,是个好公园在市中心有公交5路车直达票价2元门票2元是收费公园里全国最便宜的里面有座山是北京三环里最高的山山上有五座亭子左右对称中间一个最高能看到北京皇城和周围的市井是最佳观赏地山下有松树林是锻炼散步的好地方这个公园里有许多人唱歌锻炼跳舞喜欢的可以看可能有些吵这个公园冬天的柿子树最有名下雪是红黄白相间最美丽是拍照的好地方出了公园南门就是故宫出西门就是北海公园都是北京好的旅游地方景山公园和北海公园中间还...,2
4337,环境不错，空气也很清新。去的时候正好周六，都多一家大小出行的到那里游玩的。,2
4338,里面挺好的，就是太冷了，太冷了，太冷了。,0
4339,立于景山之巅，就身处京城最中心点，看老北京的中轴线从脚下穿过，俯瞰故宫，远眺北海，北京城的昨天和今天尽收眼底,2
4340,换票十分方便，价格便宜，靠谱！,2
4341,2块值得一去。进去以后，我们直接爬到最高的亭子，俯瞰故宫！,2
4342,网上购票2元，现场购票也是2元！公园环境还可以，没有什么特别的拍照的景点。但是可以看到整合故宫的景色，特别壮观。让我更想去故宫游玩一下了，但是最近故宫闭园，9月4号才对外开放，很遗憾没有机会进故宫看看。从景山公园看见故宫的整体，也能弥补了一点我的小失落，这个2元钱花的也是蛮值的。,2
4343,在网上买的票，直接去售票口兑票！进去很单纯”就是为了到顶拍下照片！必须去！,2
4344,就是一个小公园，没什么景点，山顶能看到故宫。,1
4345,不错，就为看个故宫全景上去的，和门口门票一样多钱,1
4346,雪后的景山公园别提有多美了，白雪墙头红色的墙，还有久久不见的蓝天,2
4347,不错，用了优惠卷才一块钱！哈哈哈哈,2
4348,约不上故宫，那就来景山公园远看一下故宫吧，十块钱大门票性价比可太高了，建议一早来，一是还不太热，二是人比较少的，登顶其实也就二十分钟，然后就是找到合适的机位拍照，还是得晴天来，能看到故宫白塔什么的，逛完之后还可以逛一下寿皇殿，总之也能玩不少时间。,2
4349,网上买票真的超级方便的，提前安排好时间，非常好的体验，快捷省时，下次会继续选择网络购票的方式，景山公园看故宫和北京的全景，夜景也超棒,2
4350,绕公园走了一圈，公园不是很大，大多数人来这个公园就是为了看故宫全景，不过大雾埋天也看不出什么效果,1
4351,這個季節雖然沒什麼景色，但是到山頂去看看也是非常好,2
4352,真该去看看，俯瞰故宫特别美，真是容易被忽略的美景,2
4353,景山公园是俯瞰故宫的最好地方，有许多人慕名而来，我们也是。,2
4354,挺好的，可以看见整个故宫！给大家提个醒啊，无论逛完故宫多累，如果天没雾霾，一定要上去看看！我后悔死了，18号天巨好，我贪心的要转整个故宫，出来后门脚疼的要死，在门口看到觉得山好高，就犯懒想着又爬不上去，爬上去可能太阳都没了，干脆19号再去吧。结果19号大霾啊……而且特好爬10分钟就上去了好吗……巨壮观的景色看不到了……伤心啊！！！大家看看我的图，18号和19号，第二张真的是太阳下的故宫全景啊……下次去不知道什...,1
4355,景山公园位于北京市西城区景山前街，坐落在明清北京城的中轴线上，西临北海，南与故宫神武门隔街相望，是明、清两代的御苑。公园中心的景山为堆土而成，曾是全城的制高点。景山公园1928年建园，全园总面积23公顷其中，花卉草坪占地1100 平方米。,1
4356,现在都实行限流预约制  一定关注公众号  提前预约哦可以俯瞰整个故宫的景山公园好多棵柿柿如意～,2
4357,非常好的体验！2点准时集合 ，导游小姐姐知识面很广，整整讲了2个小时 ，还有私家打卡的景色，比自己去收获强多了！非常满意！小姐姐人美心善！非常满意的一次旅行记忆！,2
4358,在前门坐5路公交车，或者骑小蓝车也可以到,1
4359,5月4号再次打卡景山公园，本是为了寻找豆绿牡丹，却被工作人员告知豆绿牡丹已经仙去了，除了黄牡丹等晚花品种其他牡丹已经谢了，芍药还没有盛开。绿幕隐玉牡丹，花苞是绿色的，所以很多人把它当成绿牡丹，其实他不算是绿牡丹,0
4360,4月24日抓紧“五一”假期前的最后一个休息日去打卡景山公园，因为“花中之王”牡丹盛放了，进入五月牡丹除了晚花品种，基本都开败了。景山公园的牡丹涵盖了九大色系、九大花型。其中既有皇家御园传统的牡丹名品，也有久负盛名的洛阳牡丹、荷泽牡丹，还有珍贵的紫斑牡丹、国外牡丹，以及景山自育的牡丹品种。春花节期间公园门票10元荷包牡丹5月3日五一期间去玉渊潭公园看鲁冰花，除了鲁冰花还有猬实花，槐树花，楸树花，金银木等，...,2
4361,景山公园上可以看到故宫全景，门票：2元,1
4362,促成这次北京行的很大原因，是我想来故宫看看。,2
4363,景山公园――北京必游打卡点之一，只因山顶的万春亭是唯一一处可以从正面（其实是故宫后面）一览紫禁城无敌全景的制高点。门票仅需2元，只为了观全景而来。,2
4364,从故宫游览完出来，隔了一条马路就是景山公园！公园是明清时期的皇家园林，有山有湖泊，环境不错，还有非常有代表性的白塔！走走逛逛，很不错！,2
4365,景山公园在故宫的正北面，正处在北京的南北中轴线上，曾是北京的制高点和南北分界点。从这里能俯视故宫，也能眺望北海的白塔，更能望见西山。,1
4366,景山公园可以看到故宫的全貌，喜欢摄影的朋友不要错过。,2
4367,故宫是北京最值得去的景点，明清皇帝的故居。众多的宫殿，高高的宫墙，都是非常值得一看的。而景山公园是俯瞰北京故宫的最佳位置。故宫全貌一览无遗。,2
4368,景山公园是明清两代的皇家御苑，坐落在老北京城的中轴线上，与故宫神武门隔街相望。园中心的景山为堆土而成，曾是北京城的制高点。园内有绮望楼、五方亭、寿皇殿、永思殿、牡丹园等景点。登上山顶的万春亭举目四望，京城美景尽收眼底。,2
4369,景山公园是俯瞰北京故宫的最佳地点。北京故宫是世界五大宫之首。是世界上保存最完整的宫殿建筑群。景山是存放故宫用煤的地方。景山公园北部还有宫殿式建筑，可以很好的看看。,2
4370,景山公园里的苟药花开了，真漂亮、交通方便.,2
4371,故宫的后面就是景山公园，在景山上俯瞰故宫，有一种一览山小的味道。说实话，景山一点儿也不高，可就是能看清楚故宫的整个面貌，所以，就算是为了欣赏故宫的全貌，也不能错过这座小公园哦！,2
4372,景山公园环境优美山顶上可观览北京全景,2
4373,"景山，元代，这里有座小土丘，名叫青山，属于元大内后苑的范围。明代在北京修建皇宫时，曾在这里堆过煤，所以又称煤山。由于它的位置正好在全城的中轴线上，又是皇宫北边的一道屏障，所以，风水术士称它为 ""镇山""。",2
4374,景山公园花草多 门票只要2元的大氧吧 皇家园林典范,2
4375,景山公园来了很多牡丹仙子，牡丹有谷雨花之称，所以谷雨时节赏牡丹，都说洛阳牡丹甲天下，景山的牡丹也不逊色；唯有牡丹真国色，花开时节动京城，有喜欢牡丹仙子的朋友，快去欣赏吧。,2
4376,春天真是赏花的好时节。各种各样的花卉，逐一开放，让人目不暇接。景山公园的牡丹花开得很好，摄影爱好者拿着长枪短炮，记录下美好世界。,2
4377,景山公园每年春天最大的看点就是牡丹芍药了。今年的牡丹已经开了一些。我看到的颜色有深红，粉色，白色和黄色的，都很美。每个人都举着手机拍个不停。,2
4378,景山虽然实际海拔不高，但是有种拔地而起的感觉，从山下看最高处的万春亭，给人一种必须仰望的感觉。景山上有东西一字排开五个亭子。,2
4379,景山是北京中轴线上的标志建筑，也是几百年来京城的制高点 在这里可以俯瞰故宫，远望西山，欣赏北京最美的风景，尤其是蓝天白云的时候。,2
4380,北京中轴线上的一个制高点，出了故宫神武门之后过了路就是，也是一个非常值得来玩的地方，20分钟就可以从公园门口登到山顶，天气好能看到远处的山，景色非常不错,2
4381,景山是著名的皇家园林，她位于故宫的正北面，正门对着故宫的神武门，这里曾是北京的制高点，可以俯视整个故宫，远眺西山和颐和园。,2
4382,景山公园位于北京的中轴线上，紧邻故宫，位于故宫博物院的北面，两门相对，只隔一条马路。景山是明朝修建皇城时，挖出土方堆砌而成。几百年来，一直是京城最高点。,1
4383,北京的景山公园是俯瞰整个故宫美景的绝佳去处之一。站在公园制高点处，故宫的全貌一览无余，让人能够感受到中国皇家建筑的恢宏气势。,2
4384,去景山公园，实际上就是为了目睹一下故宫皇城的全貌。也就没其他更大的意义了，从故宫博物馆出来后，直接往左手边走，下地道，过对面后就能到景山公园了，景山公园的票价非常便宜的，成年人只需要2块钱就可以了，虽然已经来过好多次了，但是之前第一次来的时候就很诧异，居然北京还有这样收费低的景点呀，可能也是因为逛故宫的人逛完太累了的缘故吧，基本上来到景山公园的人是不多的！,2
4385,景山公园是俯瞰北京故宫的最佳地点。很有意思，老铁，奥利给。景山公园还有宫殿建筑，是个不错的景点。也是明思宗朱由检的上吊处，,2
4386,景山公园与故宫隔街相望。曾经是北京城的制高点。现在很多的游客从神武门出来。都会登上景山俯瞰紫禁城，不错的体验。景色优美。,2
4387,今天趁着大风没有来临之前到景山公园一游，景山公园坐落在明清北京城的中轴线上，是明、清两代的御苑。景山公园是俯瞰故宫的最佳之处。,2
4388,在北京住的人都知道在这里可以看到整个故宫，这里也曾经是全北京的最高点。出了故宫的神武门就是这里，这里也算是北京最出名的公园之一了。还有，对了，就是这里的牡丹也是北京非常有名的，每年都会有很多人慕名而来的。,2
4389,上景山最终的目的是看故宫全景，其他没什么特别之处去景山可以刷公交卡哦，只要几块钱哦路途树木拍几张，做留念我们看了地图准备走最近路线，直奔山顶而去间隙中拍几张风景照片台头一看便是另一方风景没错。这就是万春亭，景山最高处，其实爬这座山很容易 不算高，路也平坦，所以一会功夫 就到了远处的风景无处不在快到落日了，在景山一角拍摄此图便是故宫的全景夕阳、故宫，此情此景无不让人流连忘返就在休息时刻，一个老外做我旁...,2
4390,景山公园位于北京城南北中轴线的中心点上，与鼓楼遥遥相望，曾是北京城中心的最高点。公园内古树参天，其中万春亭被誉为北京中轴线上的制高点，可俯瞰故宫全景，一览京城轴线。,2
4391,武汉八点的航班，十点到达北京首都机场。直接打车到了德胜门快捷酒店。这个酒店位于胡同群中，二号线地铁旁积水潭站旁300米，交通便捷，房间小，比较干净。酒店后门就是西海公园内。我们放好行李，中午溜达出后门吃了护国寺小吃，油茶，豆汁，焦圈……然后坐地铁游故宫。去哪儿上定的故宫下午含导游门票，过了景区大门安检后集合游览。1点半开始游览故宫下午四点半闭馆。三个小时走走停停，感觉到冬天的紫禁城可真冷呀！手脚冰凉？...,2
4392,今天计划：早上七点起床，酒店早餐，退房，地铁至三元桥8:30之前，坐雪场大巴，到雪场酒店办理入住后，去滑雪。早上一大早起床，从德胜门坐地铁到三元桥，周一还是早高峰，提着行李挤地铁确实不方便。不过北京早上的公路交通更要命。从三元桥坐大巴约一个半小时就到了雪场。,1
4393,景山公园于1928年建园，全园总面积23公顷。坐落在明清北京城的中轴线上，西临北海，南与故宫神武门隔街相望，是明、清两代的御苑。,1
4394,景山公园，最大的亮点不是里边的景点，让我感觉最好的莫过于站在台上，放眼望去，能够看到整个故宫的全貌。气势恢宏的故宫庞大建筑群，在这里一览无余。真是太享受了！,2
4395,景山公园，也是北京开放了很多年的公园了。公园里面干净整洁，让人看了心情舒畅。公园里花花草草的，绿化做的不错，值得去的公园。,2
4396,景山公园，除了故宫过地下通道就是，面积不大门票白菜价，然后登上景山眺望壮丽的故宫，还有附近的白塔等，特别的壮美，建议晴天的傍晚来看夕阳！！,2
4397,景山公园的万春厅是老北京的中心点和至高点，有地上铜板为证，从这里向南俯视整个故宫，从这里能看见西面北海公园的琼岛上的白塔，向东能看见CBD的中国樽，向北能看见亚运村和奥运村。,2
4398,国庆节去的时候人稍微有点多，如果有北京的交通卡的话就不需要再去门口排队了可以直接刷卡进，门票的就2块钱是一个登高观望故宫的好地方,2
4399,据说景山是挖紫禁城护城河的土堆起来的，风水上让紫禁城有靠山。绝对的内城制高点，故宫、北海公园尽收眼底。清晨黄昏是景色最美的时候。,2
4400,京城第二场雪恰逢周一，与紫禁城的冬雪之约也因为故宫周一闭馆而改在了景山。因为上午雪花飞舞，怕景山因安全问题不让登高远眺，所以先去了北海，下午一点来到景山。此时游人也不少，入园人数近两万了。平时可没这么多游人。尤其是万春亭上，真的是人山人海呀，因为是雪后来此，远眺故宫似乎少了点“一场飞雪，一首诗”的意境，但白雪笼罩下的故宫，依然是美如仙境！ 公园南门向东的道旁，沿路堆了许多可爱的小雪人，形态各异，真...,2
4401,今年北京下的第二场雪了，赶紧约上闺蜜去景山，北京最佳观赏地，远眺观故宫建筑群、鼓楼、北海！天气不是太晴，拍的效果不好！不过我们玩得还是很嗨！雪后的北京银装素裹，美哉！沿途有雅性的人们，堆的各种雪人⛄️，太有意思了！        人也是不少，不过好在今天周一故宫休息，要不人会更多，会有大部队的旅游团的。,2
4402,今天是我在北京的最后一天啦！行程依旧满满！早上一出门，天公不作美，飘了点毛毛雨！不管，就算天上下刀子，我也要去浪！！！青旅离景山公园蛮近的，走了几分钟就到了！景山公园门票居然还可以刷北京市政一卡通，震惊我！,2
4403,每逢北京下雪后，各大公园都会成为市民争相前往的好去处。景山公园位于北京市中心，自然是最佳的选择地。站在景山之上，可以眺望整个故宫博物院被白雪覆盖。,2
4404,现在的公园，都讲究个“办园特色”。景山公园的特色就是牡丹芍药了吧。每年五月，是牡丹芍药盛开的时候。大量游客涌入公园拍照留念。花朵艳丽，真是好！,2
4405,一个可以观看北京基本上全景的地方，不过最漂亮的还是他前面的故宫，景山其实就是修建紫禁城的时候的淤泥堆积而成的一座山，特别适合上去看故宫。,2
4406,景山公园在故宫对面，从故宫出来无论多累，都推荐去一下万春亭，只为俯瞰故宫全景。门票2元，相当良心，营业到7点，  大多数人是直奔万春亭  万春亭朝东可眺望北京站，朝西是北海，后海，朝北是鼓楼，处于整个北京城的中轴线。  我一直想知道北面的古代宫殿是干啥的？ 百度了也无所以然。  在景山公园，我们意外地观赏到了日落，半枚太阳火速吞入云海，日落紫禁城！  纪念品商店也不错，值得逛逛，就在东门,2
4407,【雪后故宫，遥望雪落下的声音】 站在景山公园，遥望故宫，庄严肃穆。红墙绿瓦盖雪，银装素裹，煞是静谧！远眺北京城，亦是美不胜收！ 对于在南方待久的人，北京的冬天已经相当冷了。尤其屋里有暖气，很干燥。要做好润肤。,2
4408,这个公园很美，也是当地历史比较悠久的公园之一，里面小桥流水，亭台楼阁别具一格，绿化树木也错落有致，交通便利，许多人周末来此休闲。,2
4409,一个登高望远的好地方，在日落的时候站在上面可以看见故宫美丽的风景，尔向东望可以看见北京的cbd的美丽，感觉像是北京市区的最高点,2
4410,景山公园位于北京市西城区景山前街，坐落在明清北京城的中轴线上，西临北海，南与故宫神武门隔街相望，是明、清两代的御苑。公园中心的景山为堆土而成，曾是全城的制高点。全熟透了也不往下掉本人很想吃一口本想着拍个美丽的全景，奈何天气不是特别好哇,1
4411,北京城的中心点，在这里！北京，万春亭，景山公园最高的中心亭。“北京城中心点”铜牌标志，在万春亭的南侧 。,1
4412,北京景山公园，这里有北京的中心点。古人的智慧真是厉害，什么仪器都没有的情况下能找到城市都中心，还能划出北京城的中轴线，实在佩服！,2
4413,这个公园很不错的，公园挺大的，绿化挺好的，亭台楼阁错落有致，而且都是老建筑，很有味道，早晨老爷爷，老奶奶早锻炼很多，风景不错。,2
4414,中轴线的最高点，应该就是景山了。从万春亭俯瞰，故宫尽收眼底。算是换个角度看看这座六百多年的宫殿了。门票也是特别便宜，两块钱就可以进去了。,2
4415,来串糖葫芦补充一下体力从故宫出来，正对面就是景山公园，花2块钱买张门票，爬上公园最高点就能俯看整个故宫之前几天天气都很好，唯独这天让我见识到了北京的雾霾天，加上渣像素只能拍成这样了，如果天气好的话应该会很好看。故宫的角楼寿皇殿是历代皇帝后放灵位的地方公园里锻炼的大妈旅行观光巴士，20一位，售票员会介绍沿途的景点，路线大致就是绕着故宫一圈，然后从长安街穿过到达前门。到故宫出口处会等个二十几分钟，基本上...,2
4416,北京的景山公园是北京故宫北边的公园，这里可以看到故宫，也就是可以俯瞰故宫博物院，所以到了这里可以看到故宫博物院的全景，很值得看的一个美丽公园。,2
4417,中轴线有公园吗？京城皇家园林之一的景山公园是一座山林茂密绿树成荫的公园，也是北京城中轴线上唯一的皇家园林，园林中有许多古代的故事，有浓重的文化芬围。,2
4418,门票两元，红墙琉璃瓦，皇家园林，不用去故宫一样可以拍出非常漂亮的宫照，尤其每年牡丹花开的时候，一点不输洛阳城。而且天气好的时候可以站在万春亭上故宫全景和中轴线，也很震撼。,2
4419,景山旧时称作煤山，说是用煤堆起来的，在紫禁城故宫的正北面，山上对称地建有五座亭子。下午登上最高的万春亭，紫禁城的一片金灿灿琉璃瓦顶，熠熠生辉。,2
4420,景山公园在故宫对面，登上亭子可以看到故宫金景，那气势恢弘的宫殿彰显中国人民的聪明才智和帝王们的霸道。每每登顶看着故宫都会有穿越之感，又不禁感叹岁月之残酷无情。建议来景山的时间为早10点前或夕阳夕下之时，10点前人少，傍晚时分伴着日落景色很美。,2
4421,2元钱的门票基本是忽略不计了。故宫神武门出来，过马路，建议打卡，不大的小公园，但是登上景山上的万春亭，可以一览故宫全景，很美很震撼！个人推荐很值得打卡的地方！,2
4422,可惜故宫不开门，只能到景山拍个全景,0
4423,"去完故宫，直接去景山公园。中轴线。看整个故宫全景。大气宏伟壮观。就是十一去人特别的多,建议出游错开高峰期，可以慢慢的欣赏景色。",2
4424,还是非常好看的，不过需要注意季节，如果为了看红叶，十月份左右去刚刚好，我中秋节去的，有点早，不过可玩性还是很高的，票价不高，非常合适！！！！！！！,2
4425,景山公园是皇城最好地，登上景山可以360度观赏四周风景，而且景山门票很便宜，夏天傍晚去散步挺好，看着天空慢慢变暗，四周华灯亮起，南北中轴线闪闪发光，运气极好的话会碰到火烧云，真的很美，去年碰到过一次，满满的都是摄影爱好者,2
4426,一张公园年票在手，逛遍北京大小公园，八月十五北海，八月十六景山，灯光下的万春亭、辑芳亭、富览亭、观妙亭和周赏亭耀眼夺目。,2
